Program,Cache,Write,Replace,Return,Instruction,Memory,Register,Branch Taken,Branch Hit,Branch Miss,Jump,Cache Hit,Cache Miss,Cache Ratio,Cache Total
0,1,0,0,0,10,1,4,0,0,0,1,10,2,83.333,12
0,1,0,1,0,10,1,4,0,0,0,1,10,2,83.333,12
0,1,0,2,0,10,1,4,0,0,0,1,10,2,83.333,12
0,1,0,3,0,10,1,4,0,0,0,1,10,2,83.333,12
0,1,0,4,0,10,1,4,0,0,0,1,10,2,83.333,12
0,1,0,5,0,10,1,4,0,0,0,1,10,2,83.333,12
0,1,1,0,0,10,0,4,0,0,0,1,10,2,83.333,12
0,1,1,1,0,10,0,4,0,0,0,1,10,2,83.333,12
0,1,1,2,0,10,0,4,0,0,0,1,10,2,83.333,12
0,1,1,3,0,10,0,4,0,0,0,1,10,2,83.333,12
0,1,1,4,0,10,0,4,0,0,0,1,10,2,83.333,12
0,1,1,5,0,10,0,4,0,0,0,1,10,2,83.333,12
0,2,0,0,0,10,1,4,0,0,0,1,10,2,83.333,12
0,2,0,1,0,10,1,4,0,0,0,1,10,2,83.333,12
0,2,0,2,0,10,1,4,0,0,0,1,10,2,83.333,12
0,2,0,3,0,10,1,4,0,0,0,1,10,2,83.333,12
0,2,0,4,0,10,1,4,0,0,0,1,10,2,83.333,12
0,2,0,5,0,10,1,4,0,0,0,1,10,2,83.333,12
0,2,1,0,0,10,0,4,0,0,0,1,10,2,83.333,12
0,2,1,1,0,10,0,4,0,0,0,1,10,2,83.333,12
0,2,1,2,0,10,0,4,0,0,0,1,10,2,83.333,12
0,2,1,3,0,10,0,4,0,0,0,1,10,2,83.333,12
0,2,1,4,0,10,0,4,0,0,0,1,10,2,83.333,12
0,2,1,5,0,10,0,4,0,0,0,1,10,2,83.333,12
0,3,0,0,0,10,1,4,0,0,0,1,10,2,83.333,12
0,3,0,1,0,10,1,4,0,0,0,1,10,2,83.333,12
0,3,0,2,0,10,1,4,0,0,0,1,10,2,83.333,12
0,3,0,3,0,10,1,4,0,0,0,1,10,2,83.333,12
0,3,0,4,0,10,1,4,0,0,0,1,10,2,83.333,12
0,3,0,5,0,10,1,4,0,0,0,1,10,2,83.333,12
0,3,1,0,0,10,0,4,0,0,0,1,10,2,83.333,12
0,3,1,1,0,10,0,4,0,0,0,1,10,2,83.333,12
0,3,1,2,0,10,0,4,0,0,0,1,10,2,83.333,12
0,3,1,3,0,10,0,4,0,0,0,1,10,2,83.333,12
0,3,1,4,0,10,0,4,0,0,0,1,10,2,83.333,12
0,3,1,5,0,10,0,4,0,0,0,1,10,2,83.333,12
1,1,0,0,100,12,2,6,0,0,0,1,14,2,87.500,16
1,1,0,1,100,12,2,6,0,0,0,1,14,2,87.500,16
1,1,0,2,100,12,2,6,0,0,0,1,14,2,87.500,16
1,1,0,3,100,12,2,6,0,0,0,1,14,2,87.500,16
1,1,0,4,100,12,2,6,0,0,0,1,14,2,87.500,16
1,1,0,5,100,12,2,6,0,0,0,1,14,2,87.500,16
1,1,1,0,100,12,0,6,0,0,0,1,14,2,87.500,16
1,1,1,1,100,12,0,6,0,0,0,1,14,2,87.500,16
1,1,1,2,100,12,0,6,0,0,0,1,14,2,87.500,16
1,1,1,3,100,12,0,6,0,0,0,1,14,2,87.500,16
1,1,1,4,100,12,0,6,0,0,0,1,14,2,87.500,16
1,1,1,5,100,12,0,6,0,0,0,1,14,2,87.500,16
1,2,0,0,100,12,2,6,0,0,0,1,14,2,87.500,16
1,2,0,1,100,12,2,6,0,0,0,1,14,2,87.500,16
1,2,0,2,100,12,2,6,0,0,0,1,14,2,87.500,16
1,2,0,3,100,12,2,6,0,0,0,1,14,2,87.500,16
1,2,0,4,100,12,2,6,0,0,0,1,14,2,87.500,16
1,2,0,5,100,12,2,6,0,0,0,1,14,2,87.500,16
1,2,1,0,100,12,0,6,0,0,0,1,14,2,87.500,16
1,2,1,1,100,12,0,6,0,0,0,1,14,2,87.500,16
1,2,1,2,100,12,0,6,0,0,0,1,14,2,87.500,16
1,2,1,3,100,12,0,6,0,0,0,1,14,2,87.500,16
1,2,1,4,100,12,0,6,0,0,0,1,14,2,87.500,16
1,2,1,5,100,12,0,6,0,0,0,1,14,2,87.500,16
1,3,0,0,100,12,2,6,0,0,0,1,14,2,87.500,16
1,3,0,1,100,12,2,6,0,0,0,1,14,2,87.500,16
1,3,0,2,100,12,2,6,0,0,0,1,14,2,87.500,16
1,3,0,3,100,12,2,6,0,0,0,1,14,2,87.500,16
1,3,0,4,100,12,2,6,0,0,0,1,14,2,87.500,16
1,3,0,5,100,12,2,6,0,0,0,1,14,2,87.500,16
1,3,1,0,100,12,0,6,0,0,0,1,14,2,87.500,16
1,3,1,1,100,12,0,6,0,0,0,1,14,2,87.500,16
1,3,1,2,100,12,0,6,0,0,0,1,14,2,87.500,16
